NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Ik Jae,Song,Furious,kr,44332,3055,355.79,1
Hee-Sung,Shin,Frusciante,kr,44333,3056,355.79,1
Yoon-Soo,Park,JesusStick,kr,18079,1639,3164.12,3
Dae-Hwan,Kim,yPie,kr,28996,2251,1128.29,2
Min-Woo,Lee,Teacher Lee,kr,44334,3057,355.79,1
Gap-Yeol,Park,Park,kr,44335,3058,355.79,1
-,-,Rwky,my,36991,308,602.73,1
-,-,Nick,my,35443,297,698.24,2
-,-,viNx,my,36992,309,602.73,1
Marcel,Gerdes,Gerdes,de,58494,2809,130.87,4
Simon,Schumacher,pAn ._.,de,23516,1019,1831.56,11
-,-,S,cn,19545,1938,2697.92,3
Arnaud,Luttringer,haqx,fr,23520,955,1830.22,11
Lucas,Moulin,LUCAS,fr,37554,1583,598.84,4
-,-,trolol,fr,67069,3039,66.00,1
Sandor,de Munck,Proph,nl,9027,113,10862.89,22
Mark,Koks,AirRaid,nl,8641,104,11583.18,21
Luuk,Verink,Darky,nl,8655,105,11556.18,19
Anders,Haahr,Haahr,dk,34904,694,723.74,1
Jim,Thorsen,jiMMy,dk,13210,309,5723.72,13
Troels,Kierulff,eXce,dk,14503,319,4890.52,11
Danni,Hansen,rytme,dk,12832,298,6002.67,15
Martin,Hansen,orga,dk,13147,307,5778.75,12
Lu,Yao,Somnus丶M,cn,15,1,2992486.34,72
Benjamin,Stabell,cube,dk,57822,1108,140.00,1
Sebastian,Grassmé,GnuEN,dk,43257,837,393.58,3
Rustem,Tlepov,mou,kz,505,3,279201.52,72
Aleksandr,Tihonravov,tixoNsville,ru,41051,1542,456.63,9
Mikhail,Boyko,torNadQ,ru,41601,1560,436.63,8
Kevin,Wagener,Ketiman,de,36478,1685,632.86,9
Giannis,Borgazlhs,Dom1nant,gr,10478,28,8542.41,35
Dimos,Dimitriadis,WildPanda,gr,13519,40,5485.25,42
-,-,Yami Asura,gr,58001,195,137.32,1
Theodoros,Theodoridis,OsOm,gr,48551,133,262.48,4
Vaggelis,Oikonomou,Vagourinio,gr,51347,157,221.00,3
Mickael,-,Rikux,fr,48702,2122,259.49,3
-,-,Speedshift,no,29140,290,1114.66,12
-,-,xql,de,36260,1674,648.36,7
Sebastian,Smejkal,Sebekx,pl,2825,55,51123.97,46
-,-,Tuki,pl,38673,692,534.12,3
Taner,Orta,Aniki,de,31770,1414,926.66,10
-,-,Billy,gb,58103,2234,135.99,1
Christoffer,Kolmodin,Namshar,se,2987,131,47489.41,136
Jake,Bannister,cob,gb,68889,2741,55.97,1
Alex,Thompson,biscuits,gb,68890,2742,55.97,1
Phillip,Clegg,phillclegg,gb,68891,2743,55.97,1
Sam,Bannister,EffinAndJeffin,gb,68892,2744,55.97,1
Jamie,Thompson,StellaArtoiS,gb,68893,2745,55.97,1
Felix,Ekman,Veraz,se,56546,1772,150.58,1
Daniel,Hellqvist,Laggbovn,se,56547,1773,150.58,1
Johnny,Chu,Chinooo,se,56548,1774,150.58,1
Dmitriy,Kasatkin,KycoK_Ov4arku,ru,5638,219,21108.10,7
Ivan,Fefelov,Break_Neck,ru,3909,147,34456.31,8
Maksim,Sinichkin,Dellight,ru,7309,277,14955.35,3
Sergey,Osipenko,JustCauz,ru,4158,155,32090.23,10
Ivan,Fokin,Vors1k,ru,5224,200,23479.87,6
Victor,Novohatski,bishop,md,5012,4,24724.17,6
Andrei,Casparov,KoreetZ,md,3910,3,34456.31,8
Anatoliy,Barakov,TheAnatolich,ru,1777,76,84196.24,14
Vladimir,Drutskiy,DYADOR,ua,1507,34,99741.07,12
Mikhail,Lesnikov,ARTist1chny,ru,6588,248,17142.86,3
Aleksei,Morozov,Nuclear,ru,1548,59,97108.09,9
-,-,YAY0,ru,68680,2776,56.95,2
-,-,Cyber,by,69028,218,55.27,2
Can,Yaşar,JimCasty,tr,16639,156,3738.32,2
Rüştü,Özkök,Terap1st,tr,35155,333,707.05,2
Barış,Erbay,Prod,tr,35156,334,707.05,1
Philipp,Zoschke,SineX,de,37507,1728,600.00,1
Jakub,Szygulski,Lothar,pl,3153,61,44576.77,23
Jérémy,Pello,Daxou,fr,32612,1344,857.64,2
Kévin,Bois,Sin7,fr,35612,1485,685.77,1
Christophe,-,kisof,fr,35613,1486,685.77,1
-,-,JAYR0ME,fr,42254,1825,411.46,1
-,-,Caunie,fr,45063,1947,333.95,2
-,-,TALKI,be,48081,302,274.31,1
-,-,Epocx,fr,48080,2089,274.31,1
Eduardo,Schneider,Akali,br,46382,1608,300.00,1
Emilliano,Cassano,DexteR,ar,30149,239,1000.00,1
Tomás,Koch,TomsaKoch,ar,30153,240,1000.00,1
Zheng,Pengfei,Even,cn,2796,334,51738.49,9
Xu,Hongyu,LEE,cn,14122,1459,5000.00,1
Li,Yang,Sir,cn,14123,1460,5000.00,1
Andrew,Miloslavsky,maveloff,us,27498,5309,1280.00,2
Brandon,Parker,Brando,us,6035,1193,19503.50,23
Garrett,Young,Monstar,us,17944,3522,3200.00,2
Hunter,Young,naos,us,28199,5459,1200.00,1
Tyler,Newmister,15oL,us,10239,2049,8933.50,13
Alexander,Serikov,gnuS,ru,21530,805,2200.00,2
Maxim,Shishak,volumftw,ru,0,0,0.00,0
Sergei,Novikov,friker,ru,37061,1389,600.00,1
Alexey,Litvinov,spenkoo,ru,37063,1390,600.00,1
Vladislav,Chernoivanov,Varia,ru,21533,806,2200.00,2
Silver,Hein,Heyneken,ee,58777,118,127.73,1
Xie,Mingming,HunterMing,cn,12659,1331,6195.24,5
-,-,小圆,cn,33005,2850,826.36,1
Robin,Halimi,binet,fr,28881,1154,1143.28,7
Cyril,Ithursarry,cyrilspwR,fr,24625,999,1645.70,7
Anthony,Pinacho,kTN,fr,27392,1101,1298.06,9
Arthur,Guillermet,lePoireauMalefique,fr,24321,985,1697.43,10
Alexander,Noviy,lamp,ru,15921,571,4021.66,21
Gytis,Garnelis,nakz,lt,55832,149,161.84,3
Tautvydas,Grusauskas,teddy,lt,47191,115,296.77,6
Gediminas,Pocevicius,ellon,lt,61677,167,100.00,1
Vaidotas,Sulnis,snic,lt,52095,133,207.97,3
Augustinas,Ciaglys,fender,lt,22152,55,2062.02,19
Alexander,Ivanov,spiker,ru,7046,272,15640.22,32
Kumisaka,Genki,Gen,jp,7427,119,14544.27,7
Muhannned,Alseihati,BMNS-13,us,65511,13008,75.70,1
Kyle,Panlilio,pimpimjim,us,59273,11633,124.40,1
